"order_id","ordering_route","pref_list_type"
22780,"Clinician Orders","Clinic Preference List"
24316,"Clinician Orders","Clinic Preference List"
24503,"Clinician Orders","Clinic Preference List"
97595,"OP Orders Navigator","Clinic Preference List"
15073,"OP Orders Navigator","Clinic Preference List"
14869,"OP Orders Navigator","Provider Preference List"
26689,"OP Orders Navigator","Provider Preference List"
84100,"OP Orders Navigator","Provider Preference List"
54036,"OP Orders Navigator","Provider Preference List"
34878,"OP Orders Navigator","Provider Preference List"
67543,"OP Orders Navigator","Provider Preference List"
67816,"OP Orders Navigator","Provider Preference List"
82793,"OP Orders Navigator","Provider Preference List"
99523,"OP Orders Navigator","Clinic Preference List"
23789,"OP Orders Navigator","Clinic Preference List"
78705,"Clinician Orders","Clinic Preference List"
91697,"Clinician Orders","Clinic Preference List"
83813,"SmartSet","None"
61321,"OP Orders Navigator","None"
66540,"SmartSet","None"
17359,"OP Orders Navigator","Clinic Preference List"
81501,"SmartSet","None"
70300,"OP Orders Navigator","Provider Preference List"
34695,"OP Orders Navigator","Provider Preference List"
40247,"OP Orders Navigator","Provider Preference List"
57781,"SmartSet","None"
27831,"SmartSet","None"
55347,"SmartSet","None"
22570,"OP Orders Navigator","Clinic Preference List"
12660,"SmartSet","None"
73489,"SmartSet","None"
26411,"OP Orders Navigator","Clinic Preference List"
30170,"SmartSet","None"
86858,"OP Orders Navigator","Clinic Preference List"
53879,"OP Orders Navigator","Clinic Preference List"
54707,"OP Orders Navigator","Clinic Preference List"
17821,"OP Orders Navigator","Clinic Preference List"
55146,"OP Orders Navigator","Clinic Preference List"
12236,"OP Orders Navigator","Clinic Preference List"
99656,"OP Orders Navigator","Clinic Preference List"
14980,"OP Orders Navigator","Clinic Preference List"
27773,"SmartSet","None"
51714,"OP Orders Navigator","Clinic Preference List"
31718,"OP Orders Navigator","Clinic Preference List"
73740,"OP Orders Navigator","Clinic Preference List"
91872,"OP Orders Navigator","Clinic Preference List"
59945,"OP Orders Navigator","Clinic Preference List"
43511,"SmartSet","None"
80696,"OP Orders Navigator","Clinic Preference List"
21481,"OP Orders Navigator","Clinic Preference List"
17602,"OP Orders Navigator","None"
41429,"OP Orders Navigator","None"
27865,"OP Orders Navigator","Clinic Preference List"
24085,"OP Orders Navigator","Clinic Preference List"
90665,"OP Orders Navigator","Clinic Preference List"
22387,"OP Orders Navigator","Clinic Preference List"
43749,"OP Orders Navigator","Clinic Preference List"
39079,"OP Orders Navigator","Clinic Preference List"
14191,"OP Orders Navigator","Clinic Preference List"
72965,"OP Orders Navigator","Clinic Preference List"
97349,"OP Orders Navigator","Clinic Preference List"
33230,"OP Orders Navigator","Clinic Preference List"
73655,"OP Orders Navigator","Clinic Preference List"
47425,"OP Orders Navigator","Clinic Preference List"
43075,"OP Orders Navigator","Provider Preference List"
19013,"OP Orders Navigator","Provider Preference List"
99077,"OP Orders Navigator","Clinic Preference List"
10002,"OP Orders Navigator","Clinic Preference List"
48260,"OP Orders Navigator","Clinic Preference List"
53921,"OP Orders Navigator","Clinic Preference List"
58381,"OP Orders Navigator","Provider Preference List"
66586,"OP Orders Navigator","Clinic Preference List"
68684,"OP Orders Navigator","Clinic Preference List"
94151,"OP Orders Navigator","Clinic Preference List"
17124,"OP Orders Navigator","Clinic Preference List"
98089,"OP Orders Navigator","Clinic Preference List"
87763,"OP Orders Navigator","Clinic Preference List"
75534,"OP Orders Navigator","None"
12633,"SmartSet","None"
76896,"SmartSet","None"
88436,"SmartSet","None"
32251,"SmartSet","None"
90630,"SmartSet","None"
13970,"Clinician Orders","Clinic Preference List"
75546,"Clinician Orders","Clinic Preference List"
95384,"Clinician Orders","Clinic Preference List"
47822,"Clinician Orders","Clinic Preference List"
30040,"Clinician Orders","Clinic Preference List"
33517,"OP Orders Navigator","Clinic Preference List"
22998,"SmartSet","None"
89850,"OP Orders Navigator","Clinic Preference List"
90317,"OP Orders Navigator","Clinic Preference List"
28414,"OP Orders Navigator","Clinic Preference List"
66783,"OP Orders Navigator","Clinic Preference List"
41411,"OP Orders Navigator","None"
65645,"OP Orders Navigator","Clinic Preference List"
64871,"OP Orders Navigator","Clinic Preference List"
50012,"Clinician Orders","Provider Preference List"
38223,"Clinician Orders","Provider Preference List"
36299,"Clinician Orders","Clinic Preference List"
47819,"Clinician Orders","Clinic Preference List"
66313,"Clinician Orders","Clinic Preference List"
70114,"OP Orders Navigator","Clinic Preference List"
36655,"OP Orders Navigator","Provider Preference List"
60148,"OP Orders Navigator","Provider Preference List"
95507,"OP Orders Navigator","Provider Preference List"
68089,"OP Orders Navigator","Provider Preference List"
30328,"OP Orders Navigator","Provider Preference List"
22841,"OP Orders Navigator","Clinic Preference List"
74600,"OP Orders Navigator","Clinic Preference List"
61276,"OP Orders Navigator","Clinic Preference List"
79148,"OP Orders Navigator","Clinic Preference List"
47686,"SmartSet","None"
23658,"OP Orders Navigator","None"
57461,"OP Orders Navigator","Clinic Preference List"
63568,"OP Orders Navigator","Provider Preference List"
29849,"OP Orders Navigator","Provider Preference List"
46095,"OP Orders Navigator","Provider Preference List"
39759,"OP Orders Navigator","Provider Preference List"
80259,"OP Orders Navigator","Provider Preference List"
71530,"OP Orders Navigator","Provider Preference List"
80263,"OP Orders Navigator","Clinic Preference List"
23309,"OP Orders Navigator","Clinic Preference List"
50298,"SmartSet","None"
49514,"SmartSet","None"
88433,"OP Orders Navigator","Provider Preference List"
41973,"Clinician Orders","Clinic Preference List"
69619,"Clinician Orders","Clinic Preference List"
13670,"OP Orders Navigator","Clinic Preference List"
58341,"OP Orders Navigator","Clinic Preference List"
39192,"OP Orders Navigator","Clinic Preference List"
76653,"OP Orders Navigator","Clinic Preference List"
34574,"OP Orders Navigator","Clinic Preference List"
40217,"OP Orders Navigator","Clinic Preference List"
15196,"OP Orders Navigator","Provider Preference List"
81038,"Clinician Orders","Clinic Preference List"
55092,"SmartSet","None"
32532,"OP Orders Navigator","Clinic Preference List"
44536,"OP Orders Navigator","Clinic Preference List"
26576,"OP Orders Navigator","Clinic Preference List"
88355,"OP Orders Navigator","Clinic Preference List"
10921,"OP Orders Navigator","Clinic Preference List"
67271,"OP Orders Navigator","Clinic Preference List"
64400,"OP Orders Navigator","Clinic Preference List"
27172,"OP Orders Navigator","Clinic Preference List"
41824,"OP Orders Navigator","Clinic Preference List"
84808,"OP Orders Navigator","Clinic Preference List"
67906,"OP Orders Navigator","Clinic Preference List"
23625,"OP Orders Navigator","Clinic Preference List"
24723,"OP Orders Navigator","Clinic Preference List"
68506,"OP Orders Navigator","Clinic Preference List"
17974,"OP Orders Navigator","Clinic Preference List"
68013,"OP Orders Navigator","Clinic Preference List"
55710,"OP Orders Navigator","Clinic Preference List"
68199,"OP Orders Navigator","Clinic Preference List"
25091,"OP Orders Navigator","None"
99646,"OP Orders Navigator","Clinic Preference List"
52584,"OP Orders Navigator","Clinic Preference List"
18353,"OP Orders Navigator","Clinic Preference List"
61140,"OP Orders Navigator","Clinic Preference List"
52294,"OP Orders Navigator","None"
11078,"OP Orders Navigator","Clinic Preference List"
81410,"OP Orders Navigator","Clinic Preference List"
51073,"OP Orders Navigator","Clinic Preference List"
48104,"OP Orders Navigator","Clinic Preference List"
48082,"OP Orders Navigator","Clinic Preference List"
37648,"SmartSet","None"
62309,"OP Orders Navigator","Clinic Preference List"
72949,"OP Orders Navigator","Clinic Preference List"
32129,"OP Orders Navigator","Clinic Preference List"
55841,"OP Orders Navigator","Clinic Preference List"
14736,"OP Orders Navigator","Clinic Preference List"
62017,"OP Orders Navigator","Clinic Preference List"
64263,"OP Orders Navigator","Clinic Preference List"
58231,"OP Orders Navigator","Clinic Preference List"
47897,"OP Orders Navigator","Clinic Preference List"
85831,"OP Orders Navigator","Clinic Preference List"
24681,"SmartSet","None"
87734,"OP Orders Navigator","None"
57532,"SmartSet","None"
58016,"SmartSet","None"
65729,"SmartSet","None"
68531,"OP Orders Navigator","Clinic Preference List"
78907,"SmartSet","None"
38542,"OP Orders Navigator","Clinic Preference List"
98278,"Clinician Orders","Clinic Preference List"
17966,"Clinician Orders","Clinic Preference List"
31282,"Clinician Orders","Clinic Preference List"
98245,"Clinician Orders","Clinic Preference List"
14488,"Clinician Orders","Clinic Preference List"
37682,"Clinician Orders","Clinic Preference List"
43926,"Clinician Orders","Clinic Preference List"
11326,"Clinician Orders","Provider Preference List"
67843,"Clinician Orders","Provider Preference List"
17009,"OP Orders Navigator","Clinic Preference List"
79628,"OP Orders Navigator","Clinic Preference List"
28719,"OP Orders Navigator","Clinic Preference List"
51881,"OP Orders Navigator","Clinic Preference List"
38092,"OP Orders Navigator","Clinic Preference List"
51350,"OP Orders Navigator","Clinic Preference List"
85511,"OP Orders Navigator","Clinic Preference List"
18167,"OP Orders Navigator","Clinic Preference List"
47495,"OP Orders Navigator","Clinic Preference List"
85107,"OP Orders Navigator","Clinic Preference List"
21503,"OP Orders Navigator","Clinic Preference List"
87303,"OP Orders Navigator","Clinic Preference List"
88666,"OP Orders Navigator","Clinic Preference List"
28183,"OP Orders Navigator","Clinic Preference List"
24866,"OP Orders Navigator","Clinic Preference List"
72087,"OP Orders Navigator","Clinic Preference List"
76275,"OP Orders Navigator","Clinic Preference List"
77318,"OP Orders Navigator","Clinic Preference List"
84766,"OP Orders Navigator","Clinic Preference List"
34906,"OP Orders Navigator","Clinic Preference List"
98267,"OP Orders Navigator","Clinic Preference List"
16866,"SmartSet","None"
21263,"SmartSet","None"
62324,"SmartSet","None"
44042,"SmartSet","None"
13602,"SmartSet","None"
31354,"SmartSet","None"
26673,"OP Orders Navigator","Clinic Preference List"
15781,"OP Orders Navigator","Clinic Preference List"
20962,"OP Orders Navigator","Clinic Preference List"
48752,"OP Orders Navigator","Clinic Preference List"
60986,"OP Orders Navigator","Clinic Preference List"
82670,"SmartSet","None"
43900,"OP Orders Navigator","Clinic Preference List"
88759,"OP Orders Navigator","Clinic Preference List"
94154,"OP Orders Navigator","Clinic Preference List"
47074,"OP Orders Navigator","Clinic Preference List"
61689,"OP Orders Navigator","Clinic Preference List"
42469,"OP Orders Navigator","Clinic Preference List"
37634,"OP Orders Navigator","Clinic Preference List"
30756,"Clinician Orders","Provider Preference List"
76843,"SmartSet","None"
85498,"OP Orders Navigator","Provider Preference List"
40873,"OP Orders Navigator","Provider Preference List"
64546,"OP Orders Navigator","Clinic Preference List"
80335,"OP Orders Navigator","Clinic Preference List"
29456,"OP Orders Navigator","Clinic Preference List"
90520,"OP Orders Navigator","Clinic Preference List"
78800,"OP Orders Navigator","Clinic Preference List"
78995,"OP Orders Navigator","Clinic Preference List"
41161,"OP Orders Navigator","Clinic Preference List"
97524,"OP Orders Navigator","Clinic Preference List"
39791,"OP Orders Navigator","Clinic Preference List"
81947,"OP Orders Navigator","Clinic Preference List"
95940,"OP Orders Navigator","Clinic Preference List"
51785,"OP Orders Navigator","Clinic Preference List"
74174,"OP Orders Navigator","Clinic Preference List"
39749,"OP Orders Navigator","Clinic Preference List"
78893,"OP Orders Navigator","Clinic Preference List"
90066,"OP Orders Navigator","Clinic Preference List"
80644,"OP Orders Navigator","Clinic Preference List"
75867,"OP Orders Navigator","Clinic Preference List"
60159,"SmartSet","None"
44537,"SmartSet","None"
57884,"SmartSet","None"
20574,"SmartSet","None"
88911,"SmartSet","None"
49495,"SmartSet","None"
61077,"OP Orders Navigator","Clinic Preference List"
17068,"OP Orders Navigator","Clinic Preference List"
82450,"OP Orders Navigator","Clinic Preference List"
96827,"OP Orders Navigator","Clinic Preference List"
27547,"OP Orders Navigator","Provider Preference List"
22616,"Clinician Orders","Clinic Preference List"
18948,"OP Orders Navigator","Clinic Preference List"
35222,"OP Orders Navigator","Clinic Preference List"
53180,"OP Orders Navigator","Clinic Preference List"
24907,"OP Orders Navigator","Provider Preference List"
71054,"OP Orders Navigator","Provider Preference List"
59313,"OP Orders Navigator","Provider Preference List"
77114,"OP Orders Navigator","Provider Preference List"
94655,"OP Orders Navigator","Clinic Preference List"
63171,"OP Orders Navigator","Clinic Preference List"
90266,"OP Orders Navigator","Clinic Preference List"
42223,"OP Orders Navigator","Clinic Preference List"
37697,"OP Orders Navigator","Provider Preference List"
14623,"OP Orders Navigator","Provider Preference List"
44648,"OP Orders Navigator","Provider Preference List"
33996,"OP Orders Navigator","Provider Preference List"
15103,"OP Orders Navigator","Provider Preference List"
58956,"OP Orders Navigator","Provider Preference List"
39258,"OP Orders Navigator","Clinic Preference List"
49851,"SmartSet","None"
78085,"OP Orders Navigator","Clinic Preference List"
73408,"OP Orders Navigator","Clinic Preference List"
63955,"OP Orders Navigator","Clinic Preference List"
31966,"OP Orders Navigator","Clinic Preference List"
23433,"OP Orders Navigator","Clinic Preference List"
42678,"OP Orders Navigator","Clinic Preference List"
50359,"OP Orders Navigator","Provider Preference List"
41503,"OP Orders Navigator","Provider Preference List"
31191,"OP Orders Navigator","Provider Preference List"
93483,"Clinician Orders","Clinic Preference List"
73665,"Clinician Orders","Clinic Preference List"
56202,"Clinician Orders","Clinic Preference List"
48794,"Clinician Orders","Clinic Preference List"
50337,"OP Orders Navigator","Provider Preference List"
35868,"OP Orders Navigator","Clinic Preference List"
87718,"SmartSet","None"
71955,"OP Orders Navigator","Clinic Preference List"
88842,"OP Orders Navigator","Clinic Preference List"
17365,"OP Orders Navigator","Provider Preference List"
51810,"OP Orders Navigator","Provider Preference List"
31068,"OP Orders Navigator","None"
24138,"OP Orders Navigator","Clinic Preference List"
86416,"SmartSet","None"
24283,"SmartSet","None"
83629,"SmartSet","None"
52722,"SmartSet","None"
43933,"SmartSet","None"
18681,"SmartSet","None"
97789,"SmartSet","None"
73926,"SmartSet","None"
38699,"SmartSet","None"
68522,"SmartSet","None"
39773,"OP Orders Navigator","Provider Preference List"
19317,"OP Orders Navigator","Clinic Preference List"
82259,"OP Orders Navigator","Clinic Preference List"
46570,"SmartSet","None"
79566,"SmartSet","None"
60693,"SmartSet","None"
86637,"SmartSet","None"
83785,"SmartSet","None"
53521,"SmartSet","None"
20652,"SmartSet","None"
85053,"SmartSet","None"
12041,"OP Orders Navigator","Clinic Preference List"
43150,"OP Orders Navigator","None"
28302,"OP Orders Navigator","None"
44996,"OP Orders Navigator","Clinic Preference List"
90492,"OP Orders Navigator","Clinic Preference List"
73371,"OP Orders Navigator","Clinic Preference List"
81208,"OP Orders Navigator","Clinic Preference List"
75119,"SmartSet","None"
75984,"OP Orders Navigator","Clinic Preference List"
75942,"OP Orders Navigator","Clinic Preference List"
53372,"OP Orders Navigator","Clinic Preference List"
40186,"OP Orders Navigator","Provider Preference List"
72815,"OP Orders Navigator","Clinic Preference List"
60915,"OP Orders Navigator","Clinic Preference List"
96882,"OP Orders Navigator","Clinic Preference List"
96963,"OP Orders Navigator","Clinic Preference List"
57525,"OP Orders Navigator","Clinic Preference List"
96395,"OP Orders Navigator","Clinic Preference List"
10271,"OP Orders Navigator","Clinic Preference List"
54200,"OP Orders Navigator","Clinic Preference List"
37160,"OP Orders Navigator","Clinic Preference List"
64389,"OP Orders Navigator","Clinic Preference List"
86563,"OP Orders Navigator","Clinic Preference List"
72907,"OP Orders Navigator","Clinic Preference List"
26863,"OP Orders Navigator","Clinic Preference List"
62409,"OP Orders Navigator","Clinic Preference List"
29599,"OP Orders Navigator","Clinic Preference List"
91099,"OP Orders Navigator","Clinic Preference List"
66536,"OP Orders Navigator","Clinic Preference List"
12174,"OP Orders Navigator","Clinic Preference List"
69077,"OP Orders Navigator","Provider Preference List"
92736,"OP Orders Navigator","Provider Preference List"
77482,"OP Orders Navigator","Provider Preference List"
26504,"OP Orders Navigator","Provider Preference List"
13007,"OP Orders Navigator","Provider Preference List"
69684,"SmartSet","None"
34451,"OP Orders Navigator","Provider Preference List"
85172,"OP Orders Navigator","Provider Preference List"
78472,"OP Orders Navigator","Provider Preference List"
39589,"OP Orders Navigator","Clinic Preference List"
94307,"OP Orders Navigator","Clinic Preference List"
61530,"OP Orders Navigator","Clinic Preference List"
71563,"OP Orders Navigator","Clinic Preference List"
19131,"OP Orders Navigator","Provider Preference List"
16260,"OP Orders Navigator","Provider Preference List"
79655,"Clinician Orders","Clinic Preference List"
35003,"Clinician Orders","Clinic Preference List"
57635,"Clinician Orders","Clinic Preference List"
57004,"Clinician Orders","Clinic Preference List"
39380,"Clinician Orders","Clinic Preference List"
86424,"Clinician Orders","Clinic Preference List"
66374,"OP Orders Navigator","Clinic Preference List"
97052,"OP Orders Navigator","Clinic Preference List"
34386,"OP Orders Navigator","Clinic Preference List"
63108,"OP Orders Navigator","Clinic Preference List"
94945,"OP Orders Navigator","Clinic Preference List"
22149,"Clinician Orders","Clinic Preference List"
46190,"Clinician Orders","Clinic Preference List"
98477,"SmartSet","None"
14470,"SmartSet","None"
53160,"SmartSet","None"
49114,"OP Orders Navigator","Clinic Preference List"
83692,"OP Orders Navigator","Clinic Preference List"
34707,"OP Orders Navigator","Clinic Preference List"
74662,"OP Orders Navigator","Clinic Preference List"
68196,"OP Orders Navigator","Clinic Preference List"
41182,"OP Orders Navigator","Clinic Preference List"
35310,"OP Orders Navigator","Clinic Preference List"
54735,"OP Orders Navigator","Clinic Preference List"
72217,"OP Orders Navigator","None"
31822,"OP Orders Navigator","Clinic Preference List"
14829,"OP Orders Navigator","Provider Preference List"
72241,"OP Orders Navigator","Provider Preference List"
91016,"OP Orders Navigator","Clinic Preference List"
78403,"OP Orders Navigator","Clinic Preference List"
43346,"OP Orders Navigator","Clinic Preference List"
78072,"OP Orders Navigator","Clinic Preference List"
47490,"SmartSet","None"
85266,"OP Orders Navigator","Clinic Preference List"
10561,"OP Orders Navigator","Clinic Preference List"
86003,"OP Orders Navigator","Clinic Preference List"
88863,"OP Orders Navigator","Provider Preference List"
88178,"OP Orders Navigator","Clinic Preference List"
27385,"OP Orders Navigator","Clinic Preference List"
98973,"OP Orders Navigator","Clinic Preference List"
41555,"OP Orders Navigator","Clinic Preference List"
53233,"OP Orders Navigator","Clinic Preference List"
86094,"OP Orders Navigator","Clinic Preference List"
68685,"OP Orders Navigator","Clinic Preference List"
16085,"OP Orders Navigator","Clinic Preference List"
49066,"OP Orders Navigator","Provider Preference List"
92234,"OP Orders Navigator","Clinic Preference List"
83726,"OP Orders Navigator","Clinic Preference List"
39794,"OP Orders Navigator","Clinic Preference List"
11102,"OP Orders Navigator","Clinic Preference List"
93231,"OP Orders Navigator","Clinic Preference List"
18047,"OP Orders Navigator","Clinic Preference List"
68321,"Clinician Orders","Clinic Preference List"
55488,"Clinician Orders","Clinic Preference List"
82630,"OP Orders Navigator","Clinic Preference List"
12409,"OP Orders Navigator","Clinic Preference List"
74642,"SmartSet","None"
69485,"OP Orders Navigator","Provider Preference List"
14774,"OP Orders Navigator","Clinic Preference List"
34565,"OP Orders Navigator","Clinic Preference List"
91040,"OP Orders Navigator","Clinic Preference List"
96265,"OP Orders Navigator","Clinic Preference List"
13845,"OP Orders Navigator","Clinic Preference List"
24993,"Clinician Orders","Clinic Preference List"
50110,"OP Orders Navigator","Clinic Preference List"
49874,"OP Orders Navigator","Clinic Preference List"
62370,"SmartSet","None"
45875,"OP Orders Navigator","Clinic Preference List"
59234,"OP Orders Navigator","Clinic Preference List"
65401,"OP Orders Navigator","Clinic Preference List"
32483,"SmartSet","None"
95644,"OP Orders Navigator","Clinic Preference List"
40035,"OP Orders Navigator","Clinic Preference List"
97092,"OP Orders Navigator","Clinic Preference List"
64728,"OP Orders Navigator","Clinic Preference List"
51186,"OP Orders Navigator","Clinic Preference List"
68908,"OP Orders Navigator","Clinic Preference List"
86386,"OP Orders Navigator","Clinic Preference List"
14520,"OP Orders Navigator","Clinic Preference List"
24718,"OP Orders Navigator","Clinic Preference List"
30314,"OP Orders Navigator","Clinic Preference List"
48727,"OP Orders Navigator","Clinic Preference List"
68807,"OP Orders Navigator","Clinic Preference List"
77128,"OP Orders Navigator","Clinic Preference List"
66557,"OP Orders Navigator","Provider Preference List"
59118,"OP Orders Navigator","Provider Preference List"
88754,"OP Orders Navigator","None"
95123,"OP Orders Navigator","Provider Preference List"
31899,"OP Orders Navigator","Provider Preference List"
89920,"OP Orders Navigator","Provider Preference List"
71469,"OP Orders Navigator","Provider Preference List"
98815,"OP Orders Navigator","None"
60690,"OP Orders Navigator","Clinic Preference List"
15418,"OP Orders Navigator","Clinic Preference List"
98252,"OP Orders Navigator","Clinic Preference List"
10303,"OP Orders Navigator","Clinic Preference List"
63616,"OP Orders Navigator","Clinic Preference List"
85918,"SmartSet","None"
74840,"OP Orders Navigator","Provider Preference List"
69454,"OP Orders Navigator","Provider Preference List"
58149,"OP Orders Navigator","Provider Preference List"
15032,"OP Orders Navigator","Provider Preference List"
59089,"OP Orders Navigator","Provider Preference List"
23104,"OP Orders Navigator","Provider Preference List"
96130,"OP Orders Navigator","Provider Preference List"
46126,"OP Orders Navigator","Provider Preference List"
79944,"OP Orders Navigator","Provider Preference List"
97313,"OP Orders Navigator","Provider Preference List"
54097,"OP Orders Navigator","Provider Preference List"
54376,"OP Orders Navigator","Provider Preference List"
53695,"OP Orders Navigator","Clinic Preference List"
10933,"OP Orders Navigator","Clinic Preference List"
16484,"OP Orders Navigator","Clinic Preference List"
58352,"OP Orders Navigator","Clinic Preference List"
18121,"OP Orders Navigator","Clinic Preference List"
95448,"OP Orders Navigator","Clinic Preference List"
88021,"OP Orders Navigator","Clinic Preference List"
90610,"OP Orders Navigator","Clinic Preference List"
66223,"Clinician Orders","Clinic Preference List"
60194,"Clinician Orders","Clinic Preference List"
66009,"Clinician Orders","Clinic Preference List"
72325,"Clinician Orders","Clinic Preference List"
78107,"OP Orders Navigator","Clinic Preference List"
38407,"Results Console","None"
33431,"Results Console","None"
76502,"Results Console","None"
46991,"Results Console","None"
46534,"Results Console","None"
12719,"Results Console","None"
87226,"Results Console","None"
41196,"Results Console","None"
27790,"Results Console","None"
62852,"OP Orders Navigator","Clinic Preference List"
84975,"OP Orders Navigator","Clinic Preference List"
34462,"OP Orders Navigator","Clinic Preference List"
44454,"OP Orders Navigator","Clinic Preference List"
21499,"OP Orders Navigator","Clinic Preference List"
45956,"OP Orders Navigator","Clinic Preference List"
46074,"OP Orders Navigator","Provider Preference List"
55095,"OP Orders Navigator","Provider Preference List"
45997,"OP Orders Navigator","Clinic Preference List"
78835,"OP Orders Navigator","Clinic Preference List"
54234,"OP Orders Navigator","Clinic Preference List"
70756,"OP Orders Navigator","Clinic Preference List"
39802,"OP Orders Navigator","Clinic Preference List"
53710,"Clinician Orders","Clinic Preference List"
38139,"OP Orders Navigator","Clinic Preference List"
85645,"OP Orders Navigator","None"
71391,"Clinician Orders","Clinic Preference List"
90357,"OP Orders Navigator","Clinic Preference List"
14957,"OP Orders Navigator","Clinic Preference List"
46407,"OP Orders Navigator","Clinic Preference List"
86099,"OP Orders Navigator","Clinic Preference List"
95371,"OP Orders Navigator","Provider Preference List"
49091,"OP Orders Navigator","Provider Preference List"
35420,"OP Orders Navigator","Provider Preference List"
65602,"OP Orders Navigator","Provider Preference List"
60540,"OP Orders Navigator","Clinic Preference List"
28731,"OP Orders Navigator","Clinic Preference List"
37865,"OP Orders Navigator","Clinic Preference List"
59129,"OP Orders Navigator","Provider Preference List"
61132,"OP Orders Navigator","Provider Preference List"
45334,"OP Orders Navigator","Provider Preference List"
84175,"OP Orders Navigator","Provider Preference List"
42952,"OP Orders Navigator","Provider Preference List"
97656,"SmartSet","None"
30252,"OP Orders Navigator","Clinic Preference List"
89187,"Clinician Orders","Clinic Preference List"
55625,"OP Orders Navigator","Provider Preference List"
77653,"OP Orders Navigator","Clinic Preference List"
10681,"OP Orders Navigator","Clinic Preference List"
81425,"OP Orders Navigator","Clinic Preference List"
48586,"OP Orders Navigator","Clinic Preference List"
80595,"OP Orders Navigator","Clinic Preference List"
11039,"OP Orders Navigator","Clinic Preference List"
95415,"OP Orders Navigator","Clinic Preference List"
74075,"OP Orders Navigator","Clinic Preference List"
80717,"OP Orders Navigator","Clinic Preference List"
48612,"OP Orders Navigator","Clinic Preference List"
44960,"OP Orders Navigator","Clinic Preference List"
32220,"OP Orders Navigator","Clinic Preference List"
35088,"OP Orders Navigator","Clinic Preference List"
12564,"OP Orders Navigator","Clinic Preference List"
27396,"Clinician Orders","Clinic Preference List"
80477,"Clinician Orders","Clinic Preference List"
15249,"Clinician Orders","Clinic Preference List"
21114,"Clinician Orders","Clinic Preference List"
37571,"Clinician Orders","Clinic Preference List"
96199,"Clinician Orders","Clinic Preference List"
18276,"Clinician Orders","Clinic Preference List"
26630,"Clinician Orders","Clinic Preference List"
44815,"OP Orders Navigator","Clinic Preference List"
55451,"OP Orders Navigator","Clinic Preference List"
87622,"OP Orders Navigator","None"
26595,"OP Orders Navigator","None"
61940,"OP Orders Navigator","Clinic Preference List"
60801,"OP Orders Navigator","Clinic Preference List"
42441,"OP Orders Navigator","Clinic Preference List"
36577,"OP Orders Navigator","Clinic Preference List"
26322,"SmartSet","None"
53271,"SmartSet","None"
68972,"SmartSet","None"
17979,"SmartSet","None"
41862,"SmartSet","None"
34795,"SmartSet","None"
23369,"OP Orders Navigator","Clinic Preference List"
58857,"OP Orders Navigator","Clinic Preference List"
18171,"OP Orders Navigator","Clinic Preference List"
